PID,Final_Radius_nm,fiPEG,fiRNA,Birth_Time,Merge_Count,Num_Ancestors,Num_Parents,Num_Children,Is_Initial
413,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
414,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
415,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
416,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
418,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
419,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
421,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
424,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
425,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
426,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
427,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
428,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
430,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
431,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
433,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
434,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
435,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
436,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
437,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
438,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
439,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
440,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
441,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
442,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
443,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
444,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
445,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
446,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
447,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
448,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
449,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
450,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
451,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
452,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
453,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
454,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
458,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
459,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
460,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
461,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
462,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
463,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
464,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
465,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
466,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
467,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
468,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
469,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
470,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
473,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
474,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
475,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
476,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
477,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
478,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
479,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
481,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
482,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
484,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
485,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
486,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
487,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
488,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
489,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
491,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
492,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
493,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
494,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
495,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
497,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
499,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
500,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
501,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
503,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
504,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
505,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
506,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
507,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
508,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
509,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
510,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
511,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
512,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
514,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
515,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
516,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
